Swim Date,Swim Title,Swim Start Time,Swim End Time,Activity Variant,Pool Size,HR Device,Device,Location,Firmware
10/08/2024,,12:27:38PM,12:57:40PM,pool,50,oh1,goggles,,3.4.98

Swim Date,Swim Time,Set #,Set,Interval (m),Length (m),Strk,Move Time,Rest Time,Cumul Time,Len,Dist (m),Cumul Dist (m),Avg DPS,Avg BPM (moving),Max BPM,Min BPM (resting),Pace/100,Pace/50,SWOLF,Avg Strk Rate (strk/min),Strk Count,Avg Strk Count/Len,Calories
10/08/2024,12:27:38PM,1,8x50,50,50,FR,0:56.19,0:00.00,0:56.19,1,50,50,1.01,141,157,0,1:52.36,0:56.18,104,51,48,48,11
10/08/2024,12:28:34PM,1,8x50,50,0,REST,0:00.00,0:13.89,1:10.08,1,0,50,0,0,157,156,0:00.00,0:00.00,0,0,0,0,0
10/08/2024,12:28:48PM,1,8x50,50,50,FR,1:01.28,0:00.00,2:11.36,1,50,100,0.96,165,169,0,2:02.55,1:01.27,112,50,51,51,14
10/08/2024,12:29:49PM,1,8x50,50,0,REST,0:00.00,0:18.35,2:29.71,1,0,100,0,0,170,167,0:00.00,0:00.00,0,0,0,0,1
10/08/2024,12:30:08PM,1,8x50,50,50,FR,1:02.08,0:00.00,3:31.79,1,50,150,0.92,174,177,0,2:04.22,1:02.11,113,50,51,51,17
10/08/2024,12:31:10PM,1,8x50,50,0,REST,0:00.00,0:22.83,3:54.62,1,0,150,0,0,180,177,0:00.00,0:00.00,0,0,0,0,1
10/08/2024,12:31:32PM,1,8x50,50,50,FR,1:04.07,0:00.00,4:58.69,1,50,200,0.92,180,184,0,2:08.21,1:04.10,116,49,52,52,17
10/08/2024,12:32:37PM,1,8x50,50,0,REST,0:00.00,0:28.55,5:27.24,1,0,200,0,0,184,177,0:00.00,0:00.00,0,0,0,0,2
10/08/2024,12:33:05PM,1,8x50,50,50,FR,1:05.23,0:00.00,6:32.47,1,50,250,0.89,179,185,0,2:10.38,1:05.19,118,50,53,53,18
10/08/2024,12:34:10PM,1,8x50,50,0,REST,0:00.00,0:33.34,7:05.81,1,0,250,0,0,185,174,0:00.00,0:00.00,0,0,0,0,2
10/08/2024,12:34:44PM,1,8x50,50,50,FR,1:05.03,0:00.00,8:10.84,1,50,300,0.88,180,186,0,2:10.04,1:05.02,119,50,54,54,18
10/08/2024,12:35:49PM,1,8x50,50,0,REST,0:00.00,0:36.81,8:47.65,1,0,300,0,0,185,173,0:00.00,0:00.00,0,0,0,0,2
10/08/2024,12:36:26PM,1,8x50,50,50,FR,1:05.47,0:00.00,9:53.12,1,50,350,0.88,180,188,0,2:10.89,1:05.44,120,50,55,55,18
10/08/2024,12:37:31PM,1,8x50,50,0,REST,0:00.00,0:45.09,10:38.21,1,0,350,0,0,186,166,0:00.00,0:00.00,0,0,0,0,3
10/08/2024,12:38:16PM,1,8x50,50,50,FR,1:05.88,0:00.00,11:44.09,1,50,400,0.88,172,183,0,2:11.75,1:05.88,120,50,54,54,17
10/08/2024,12:39:22PM,1,8x50,50,0,REST,0:00.00,0:31.25,12:15.34,1,0,400,0,0,184,175,0:00.00,0:00.00,0,0,0,0,2
10/08/2024,12:39:53PM,2,8x50,50,50,BR,1:09.75,0:00.00,13:25.09,1,50,450,1.68,178,183,0,2:19.47,1:09.73,99,26,29,29,19
10/08/2024,12:41:03PM,2,8x50,50,0,REST,0:00.00,0:10.48,13:35.58,1,0,450,0,0,181,180,0:00.00,0:00.00,0,0,0,0,1
10/08/2024,12:41:13PM,2,8x50,50,50,BR,1:08.89,0:00.00,14:44.47,1,50,500,1.66,181,183,0,2:17.74,1:08.87,98,25,29,29,18
10/08/2024,12:42:22PM,2,8x50,50,0,REST,0:00.00,0:32.67,15:17.13,1,0,500,0,0,183,170,0:00.00,0:00.00,0,0,0,0,2
10/08/2024,12:42:55PM,2,8x50,50,50,BR,1:08.84,0:00.00,16:25.97,1,50,550,1.79,171,174,0,2:17.74,1:08.87,96,24,27,27,17
10/08/2024,12:44:04PM,2,8x50,50,0,REST,0:00.00,0:09.99,16:35.96,1,0,550,0,0,174,174,0:00.00,0:00.00,0,0,0,0,1
10/08/2024,12:44:14PM,2,8x50,50,50,BR,1:12.47,0:00.00,17:48.43,1,50,600,1.66,176,181,0,2:24.93,1:12.46,101,24,29,29,19
10/08/2024,12:45:26PM,2,8x50,50,0,REST,0:00.00,0:16.05,18:04.48,1,0,600,0,0,181,178,0:00.00,0:00.00,0,0,0,0,1
10/08/2024,12:45:42PM,2,8x50,50,50,BR,1:13.34,0:00.00,19:17.82,1,50,650,1.65,177,178,0,2:26.63,1:13.31,102,25,29,29,19
