Swim Date,Swim Title,Swim Start Time,Swim End Time,Activity Variant,Pool Size,HR Device,Device,Location,Firmware
09/24/2024,,12:23:57PM,12:53:39PM,pool,50,oh1,goggles,,3.4.98

Swim Date,Swim Time,Set #,Set,Interval (m),Length (m),Strk,Move Time,Rest Time,Cumul Time,Len,Dist (m),Cumul Dist (m),Avg DPS,Avg BPM (moving),Max BPM,Min BPM (resting),Pace/100,Pace/50,SWOLF,Avg Strk Rate (strk/min),Strk Count,Avg Strk Count/Len,Calories
09/24/2024,12:23:57PM,1,1x150,150,50,FR,0:53.80,0:00.00,0:53.80,1,50,50,1.03,155,174,0,1:47.64,0:53.82,101,52,47,47,12
09/24/2024,12:24:50PM,1,1x150,150,50,FR,1:03.62,0:00.00,1:57.42,1,50,100,0.98,177,180,0,2:07.23,1:03.61,112,49,48,48,17
09/24/2024,12:25:54PM,1,1x150,150,50,FR,1:08.36,0:00.00,3:05.78,1,50,150,0.92,174,177,0,2:16.80,1:08.40,121,49,53,53,18
09/24/2024,12:27:02PM,1,1x150,150,0,REST,0:00.00,0:27.33,3:33.10,1,0,150,0,0,176,170,0:00.00,0:00.00,0,0,0,0,2
09/24/2024,12:27:30PM,2,1x50,50,50,FR,0:59.76,0:00.00,4:32.86,1,50,200,0.98,174,181,0,1:59.47,0:59.74,109,49,49,49,16
09/24/2024,12:28:30PM,2,1x50,50,0,REST,0:00.00,0:54.12,5:26.98,1,0,200,0,0,180,154,0:00.00,0:00.00,0,0,0,0,1
09/24/2024,12:29:24PM,3,4x50,50,50,BR,1:08.08,0:00.00,6:35.06,1,50,250,1.48,165,173,0,2:16.24,1:08.12,100,28,32,32,16
09/24/2024,12:30:32PM,3,4x50,50,0,REST,0:00.00,0:14.49,6:49.55,1,0,250,0,0,173,171,0:00.00,0:00.00,0,0,0,0,1
09/24/2024,12:30:46PM,3,4x50,50,50,BR,1:10.45,0:00.00,8:00.00,1,50,300,1.48,171,177,0,2:20.84,1:10.42,103,28,33,33,18
09/24/2024,12:31:57PM,3,4x50,50,0,REST,0:00.00,0:13.51,8:13.51,1,0,300,0,0,177,175,0:00.00,0:00.00,0,0,0,0,1
09/24/2024,12:32:10PM,3,4x50,50,50,BR,1:13.41,0:00.00,9:26.92,1,50,350,1.42,175,179,0,2:26.84,1:13.42,107,28,34,34,19
09/24/2024,12:33:24PM,3,4x50,50,0,REST,0:00.00,0:06.10,9:33.02,1,0,350,0,0,177,176,0:00.00,0:00.00,0,0,0,0,0
09/24/2024,12:33:30PM,3,4x50,50,50,BR,1:12.40,0:00.00,10:45.41,1,50,400,1.53,174,178,0,2:24.72,1:12.36,103,26,31,31,19
09/24/2024,12:34:42PM,3,4x50,50,0,REST,0:00.00,0:14.90,11:00.31,1,0,400,0,0,0,0,0:00.00,0:00.00,0,0,0,0,1
09/24/2024,12:34:57PM,4,4x50,50,50,FR,1:02.78,0:00.00,12:03.09,1,50,450,0.98,177,178,0,2:05.63,1:02.81,112,47,49,49,17
09/24/2024,12:36:00PM,4,4x50,50,0,REST,0:00.00,0:33.80,12:36.88,1,0,450,0,0,179,168,0:00.00,0:00.00,0,0,0,0,2
09/24/2024,12:36:34PM,4,4x50,50,50,FR,1:02.34,0:00.00,13:39.23,1,50,500,0.98,173,179,0,2:04.69,1:02.34,111,48,49,49,16
09/24/2024,12:37:36PM,4,4x50,50,0,REST,0:00.00,0:50.07,14:29.30,1,0,500,0,0,181,159,0:00.00,0:00.00,0,0,0,0,3
09/24/2024,12:38:26PM,4,4x50,50,50,FR,1:04.81,0:00.00,15:34.11,1,50,550,0.91,171,177,0,2:09.70,1:04.85,116,48,51,51,16
09/24/2024,12:39:31PM,4,4x50,50,0,REST,0:00.00,0:30.81,16:04.92,1,0,550,0,0,177,171,0:00.00,0:00.00,0,0,0,0,2
09/24/2024,12:40:02PM,4,4x50,50,50,FR,1:05.05,0:00.00,17:09.96,1,50,600,0.92,176,181,0,2:10.04,1:05.02,118,49,53,53,17
09/24/2024,12:41:07PM,4,4x50,50,0,REST,0:00.00,0:56.94,18:06.90,1,0,600,0,0,181,153,0:00.00,0:00.00,0,0,0,0,4
09/24/2024,12:42:04PM,5,4x50,50,50,BR,1:13.36,0:00.00,19:20.26,1,50,650,1.43,164,170,0,2:26.63,1:13.31,107,29,34,34,18
09/24/2024,12:43:17PM,5,4x50,50,0,REST,0:00.00,0:11.70,19:31.96,1,0,650,0,0,170,169,0:00.00,0:00.00,0,0,0,0,0
09/24/2024,12:43:29PM,5,4x50,50,50,BR,1:11.76,0:00.00,20:43.72,1,50,700,1.46,169,173,0,2:23.47,1:11.74,105,27,33,33,18
09/24/2024,12:44:40PM,5,4x50,50,0,REST,0:00.00,0:15.32,20:59.03,1,0,700,0,0,173,172,0:00.00,0:00.00,0,0,0,0,0
09/24/2024,12:44:56PM,5,4x50,50,50,BR,1:14.11,0:00.00,22:13.14,1,50,750,1.57,170,173,0,2:28.15,1:14.07,105,25,31,31,18
