Swim Date,Swim Title,Swim Start Time,Swim End Time,Activity Variant,Pool Size,HR Device,Device,Location,Firmware
12/12/2024,,12:25:43PM,12:53:22PM,pool,50,oh1,goggles,,3.4.153

Swim Date,Swim Time,Set #,Set,Interval (m),Length (m),Strk,Move Time,Rest Time,Cumul Time,Len,Dist (m),Cumul Dist (m),Avg DPS,Avg BPM (moving),Max BPM,Min BPM (resting),Pace/100,Pace/50,SWOLF,Avg Strk Rate (strk/min),Strk Count,Avg Strk Count/Len,Calories
12/12/2024,12:25:43PM,1,2x150,150,50,FR,0:54.78,0:00.00,0:54.78,1,50,50,1.03,140,154,0,1:49.53,0:54.76,102,53,47,47,10
12/12/2024,12:26:38PM,1,2x150,150,50,FR,1:10.89,0:00.00,2:05.67,1,50,100,0.9,165,169,0,2:21.84,1:10.92,125,49,54,54,17
12/12/2024,12:27:48PM,1,2x150,150,50,FR,1:09.04,0:00.00,3:14.71,1,50,150,0.83,164,170,0,2:18.12,1:09.06,127,52,58,58,17
12/12/2024,12:28:58PM,1,2x150,150,0,REST,0:00.00,0:10.81,3:25.53,1,0,150,0,0,170,169,0:00.00,0:00.00,0,0,0,0,1
12/12/2024,12:29:08PM,1,2x150,150,50,FR,1:04.87,0:00.00,4:30.40,1,50,200,0.86,171,173,0,2:09.70,1:04.85,121,52,56,56,16
12/12/2024,12:30:13PM,1,2x150,150,50,FR,1:13.14,0:00.00,5:43.54,1,50,250,0.77,177,180,0,2:26.20,1:13.10,136,54,63,63,20
12/12/2024,12:31:26PM,1,2x150,150,50,FR,1:11.52,0:00.00,6:55.06,1,50,300,0.77,178,181,0,2:23.06,1:11.53,134,55,62,62,19
12/12/2024,12:32:38PM,1,2x150,150,0,REST,0:00.00,0:28.30,7:23.36,1,0,300,0,0,179,170,0:00.00,0:00.00,0,0,0,0,2
12/12/2024,12:33:06PM,2,4x50,50,50,FR,1:07.53,0:00.00,8:30.90,1,50,350,0.82,172,175,0,2:15.13,1:07.57,126,52,58,58,17
12/12/2024,12:34:14PM,2,4x50,50,0,REST,0:00.00,0:19.99,8:50.88,1,0,350,0,0,176,173,0:00.00,0:00.00,0,0,0,0,1
12/12/2024,12:34:34PM,2,4x50,50,50,FR,1:04.78,0:00.00,9:55.66,1,50,400,0.85,173,177,0,2:09.53,1:04.77,121,52,56,56,17
12/12/2024,12:35:38PM,2,4x50,50,0,REST,0:00.00,0:28.93,10:24.59,1,0,400,0,0,179,171,0:00.00,0:00.00,0,0,0,0,2
12/12/2024,12:36:07PM,2,4x50,50,50,FR,1:06.90,0:00.00,11:31.50,1,50,450,0.8,175,180,0,2:13.87,1:06.93,126,54,59,59,17
12/12/2024,12:37:14PM,2,4x50,50,0,REST,0:00.00,0:20.73,11:52.23,1,0,450,0,0,180,177,0:00.00,0:00.00,0,0,0,0,1
12/12/2024,12:37:35PM,2,4x50,50,50,FR,1:06.72,0:00.00,12:58.95,1,50,500,0.82,176,180,0,2:13.51,1:06.76,126,53,59,59,18
12/12/2024,12:38:42PM,2,4x50,50,0,REST,0:00.00,0:31.96,13:30.91,1,0,500,0,0,180,172,0:00.00,0:00.00,0,0,0,0,2
12/12/2024,12:39:14PM,3,1x100,100,50,FR,1:07.86,0:00.00,14:38.77,1,50,550,0.84,172,175,0,2:15.69,1:07.84,125,51,57,57,18
12/12/2024,12:40:22PM,3,1x100,100,50,FR,1:13.73,0:00.00,15:52.50,1,50,600,0.78,178,180,0,2:27.49,1:13.75,135,53,61,61,20
12/12/2024,12:41:35PM,3,1x100,100,0,REST,0:00.00,0:19.22,16:11.72,1,0,600,0,0,181,177,0:00.00,0:00.00,0,0,0,0,1
12/12/2024,12:41:55PM,4,4x50,50,50,FR,1:11.46,0:00.00,17:23.18,1,50,650,0.76,176,178,0,2:22.86,1:11.43,134,53,63,63,19
12/12/2024,12:43:06PM,4,4x50,50,0,REST,0:00.00,0:21.09,17:44.26,1,0,650,0,0,177,174,0:00.00,0:00.00,0,0,0,0,1
12/12/2024,12:43:27PM,4,4x50,50,50,FR,1:07.43,0:00.00,18:51.69,1,50,700,0.81,173,176,0,2:14.77,1:07.39,126,53,59,59,17
12/12/2024,12:44:34PM,4,4x50,50,0,REST,0:00.00,0:31.24,19:22.93,1,0,700,0,0,176,165,0:00.00,0:00.00,0,0,0,0,1
12/12/2024,12:45:06PM,4,4x50,50,50,FR,1:10.68,0:00.00,20:33.61,1,50,750,0.78,167,174,0,2:21.44,1:10.72,133,52,62,62,17
12/12/2024,12:46:16PM,4,4x50,50,0,REST,0:00.00,0:08.55,20:42.17,1,0,750,0,0,176,175,0:00.00,0:00.00,0,0,0,0,1
12/12/2024,12:46:25PM,4,4x50,50,50,FR,1:09.22,0:00.00,21:51.39,1,50,800,0.78,178,181,0,2:18.50,1:09.25,130,53,61,61,19
