Swim Date,Swim Title,Swim Start Time,Swim End Time,Activity Variant,Pool Size,HR Device,Device,Location,Firmware
12/05/2024,,12:30:11PM,12:57:37PM,pool,50,oh1,goggles,,3.4.153

Swim Date,Swim Time,Set #,Set,Interval (m),Length (m),Strk,Move Time,Rest Time,Cumul Time,Len,Dist (m),Cumul Dist (m),Avg DPS,Avg BPM (moving),Max BPM,Min BPM (resting),Pace/100,Pace/50,SWOLF,Avg Strk Rate (strk/min),Strk Count,Avg Strk Count/Len,Calories
12/05/2024,12:30:11PM,1,4x100,100,50,FR,0:55.20,0:00.00,0:55.20,1,50,50,1.07,148,165,0,1:50.38,0:55.19,100,49,45,45,11
12/05/2024,12:31:06PM,1,4x100,100,50,FR,1:06.26,0:00.00,2:01.46,1,50,100,0.93,172,174,0,2:12.45,1:06.23,118,49,52,52,17
12/05/2024,12:32:12PM,1,4x100,100,0,REST,0:00.00,0:05.46,2:06.92,1,0,100,0,0,170,170,0:00.00,0:00.00,0,0,0,0,0
12/05/2024,12:32:18PM,1,4x100,100,50,FR,1:06.61,0:00.00,3:13.53,1,50,150,0.87,172,174,0,2:13.16,1:06.58,121,50,54,54,17
12/05/2024,12:33:24PM,1,4x100,100,50,FR,1:18.22,0:00.00,4:31.74,1,50,200,0.76,175,178,0,2:36.50,1:18.25,142,50,64,64,12
12/05/2024,12:34:42PM,1,4x100,100,0,REST,0:00.00,0:02.37,4:34.11,1,0,200,0,0,0,0,0:00.00,0:00.00,0,0,0,0,0
12/05/2024,12:34:45PM,1,4x100,100,50,FR,1:10.36,0:00.00,5:44.47,1,50,250,0.83,178,180,0,2:20.65,1:10.32,127,49,57,57,19
12/05/2024,12:35:55PM,1,4x100,100,50,FR,1:16.47,0:00.00,7:00.94,1,50,300,0.77,176,178,0,2:32.91,1:16.45,139,51,63,63,20
12/05/2024,12:37:12PM,1,4x100,100,0,REST,0:00.00,0:11.30,7:12.24,1,0,300,0,0,177,176,0:00.00,0:00.00,0,0,0,0,1
12/05/2024,12:37:23PM,1,4x100,100,50,FR,1:09.68,0:00.00,8:21.93,1,50,350,0.89,178,184,0,2:19.28,1:09.64,125,47,55,55,19
12/05/2024,12:38:33PM,1,4x100,100,50,FR,1:16.59,0:00.00,9:38.51,1,50,400,0.81,177,180,0,2:33.14,1:16.57,137,49,60,60,20
12/05/2024,12:39:49PM,1,4x100,100,0,REST,0:00.00,0:08.05,9:46.57,1,0,400,0,0,176,176,0:00.00,0:00.00,0,0,0,0,1
12/05/2024,12:39:57PM,2,8x50,50,50,FR,1:11.21,0:00.00,10:57.78,1,50,450,0.83,177,179,0,2:22.45,1:11.23,129,49,58,58,19
12/05/2024,12:41:08PM,2,8x50,50,0,REST,0:00.00,0:07.87,11:05.64,1,0,450,0,0,177,176,0:00.00,0:00.00,0,0,0,0,1
12/05/2024,12:41:16PM,2,8x50,50,50,FR,1:09.35,0:00.00,12:14.99,1,50,500,0.83,177,178,0,2:18.70,1:09.35,127,51,58,58,19
12/05/2024,12:42:26PM,2,8x50,50,0,REST,0:00.00,0:34.22,12:49.21,1,0,500,0,0,177,166,0:00.00,0:00.00,0,0,0,0,3
12/05/2024,12:43:00PM,2,8x50,50,50,FR,1:10.86,0:00.00,14:00.07,1,50,550,0.82,170,178,0,2:21.64,1:10.82,129,50,58,58,18
12/05/2024,12:44:11PM,2,8x50,50,0,REST,0:00.00,0:06.88,14:06.95,1,0,550,0,0,178,178,0:00.00,0:00.00,0,0,0,0,0
12/05/2024,12:44:18PM,2,8x50,50,50,FR,1:10.03,0:00.00,15:16.98,1,50,600,0.86,178,180,0,2:20.06,1:10.03,126,49,56,56,19
12/05/2024,12:45:28PM,2,8x50,50,0,REST,0:00.00,0:31.76,15:48.74,1,0,600,0,0,180,171,0:00.00,0:00.00,0,0,0,0,2
12/05/2024,12:45:59PM,2,8x50,50,50,FR,1:12.61,0:00.00,17:01.35,1,50,650,0.81,172,179,0,2:25.14,1:12.57,133,50,60,60,19
