Swim Date,Swim Title,Swim Start Time,Swim End Time,Activity Variant,Pool Size,HR Device,Device,Location,Firmware
11/19/2024,,12:28:51PM,12:57:35PM,pool,50,oh1,goggles,,3.4.153

Swim Date,Swim Time,Set #,Set,Interval (m),Length (m),Strk,Move Time,Rest Time,Cumul Time,Len,Dist (m),Cumul Dist (m),Avg DPS,Avg BPM (moving),Max BPM,Min BPM (resting),Pace/100,Pace/50,SWOLF,Avg Strk Rate (strk/min),Strk Count,Avg Strk Count/Len,Calories
11/19/2024,12:28:51PM,1,1x100,100,50,FR,1:01.42,0:00.00,1:01.42,1,50,50,1,140,154,0,2:02.85,1:01.43,108,47,47,47,12
11/19/2024,12:29:53PM,1,1x100,100,50,FR,1:02.71,0:00.00,2:04.13,1,50,100,0.97,163,168,0,2:05.47,1:02.74,113,49,50,50,15
11/19/2024,12:30:55PM,1,1x100,100,0,REST,0:00.00,0:07.74,2:11.87,1,0,100,0,0,162,161,0:00.00,0:00.00,0,0,0,0,1
11/19/2024,12:31:03PM,2,12x50,50,50,FR,1:05.36,0:00.00,3:17.23,1,50,150,0.91,164,165,0,2:10.72,1:05.36,117,48,52,52,15
11/19/2024,12:32:08PM,2,12x50,50,0,REST,0:00.00,0:14.13,3:31.36,1,0,150,0,0,164,162,0:00.00,0:00.00,0,0,0,0,1
11/19/2024,12:32:23PM,2,12x50,50,50,FR,1:07.45,0:00.00,4:38.81,1,50,200,0.94,166,171,0,2:14.95,1:07.48,119,46,52,52,16
11/19/2024,12:33:30PM,2,12x50,50,0,REST,0:00.00,0:14.16,4:52.97,1,0,200,0,0,169,166,0:00.00,0:00.00,0,0,0,0,1
11/19/2024,12:33:44PM,2,12x50,50,50,FR,1:02.42,0:00.00,5:55.39,1,50,250,1.02,168,172,0,2:04.84,1:02.42,109,46,47,47,15
11/19/2024,12:34:47PM,2,12x50,50,0,REST,0:00.00,0:13.21,6:08.61,1,0,250,0,0,173,170,0:00.00,0:00.00,0,0,0,0,1
11/19/2024,12:35:00PM,2,12x50,50,50,FR,1:08.43,0:00.00,7:17.04,1,50,300,0.88,176,178,0,2:16.80,1:08.40,123,49,55,55,19
