Swim Date,Swim Title,Swim Start Time,Swim End Time,Activity Variant,Pool Size,HR Device,Device,Location,Firmware
10/03/2024,,12:24:13PM,12:53:12PM,pool,50,oh1,goggles,,3.4.98

Swim Date,Swim Time,Set #,Set,Interval (m),Length (m),Strk,Move Time,Rest Time,Cumul Time,Len,Dist (m),Cumul Dist (m),Avg DPS,Avg BPM (moving),Max BPM,Min BPM (resting),Pace/100,Pace/50,SWOLF,Avg Strk Rate (strk/min),Strk Count,Avg Strk Count/Len,Calories
10/03/2024,12:24:13PM,1,1x100,100,50,FR,0:55.42,0:00.00,0:55.42,1,50,50,1.11,151,174,0,1:50.86,0:55.43,99,47,44,44,12
10/03/2024,12:25:08PM,1,1x100,100,50,FR,1:08.28,0:00.00,2:03.70,1,50,100,0.9,176,179,0,2:16.61,1:08.31,122,48,54,54,18
10/03/2024,12:26:17PM,1,1x100,100,0,REST,0:00.00,0:26.70,2:30.40,1,0,100,0,0,177,165,0:00.00,0:00.00,0,0,0,0,2
10/03/2024,12:26:43PM,2,6x50,50,50,FR,1:04.07,0:00.00,3:34.46,1,50,150,0.95,174,179,0,2:08.21,1:04.10,114,47,50,50,16
10/03/2024,12:27:47PM,2,6x50,50,0,REST,0:00.00,0:12.68,3:47.15,1,0,150,0,0,180,179,0:00.00,0:00.00,0,0,0,0,1
10/03/2024,12:28:00PM,2,6x50,50,50,FR,0:58.04,0:00.00,4:45.19,1,50,200,0.99,181,184,0,1:56.14,0:58.07,107,50,49,49,16
10/03/2024,12:28:58PM,2,6x50,50,0,REST,0:00.00,0:22.79,5:07.98,1,0,200,0,0,184,183,0:00.00,0:00.00,0,0,0,0,1
10/03/2024,12:29:21PM,2,6x50,50,50,FR,1:08.50,0:00.00,6:16.48,1,50,250,0.85,183,186,0,2:16.99,1:08.49,123,50,55,55,19
10/03/2024,12:30:29PM,2,6x50,50,0,REST,0:00.00,0:29.54,6:46.01,1,0,250,0,0,187,175,0:00.00,0:00.00,0,0,0,0,2
10/03/2024,12:30:59PM,2,6x50,50,50,FR,1:03.24,0:00.00,7:49.25,1,50,300,0.93,176,181,0,2:06.42,1:03.21,114,49,51,51,18
10/03/2024,12:32:02PM,2,6x50,50,0,REST,0:00.00,0:22.75,8:12.00,1,0,300,0,0,184,181,0:00.00,0:00.00,0,0,0,0,1
10/03/2024,12:32:25PM,2,6x50,50,50,FR,1:05.04,0:00.00,9:17.03,1,50,350,0.89,182,187,0,2:10.04,1:05.02,118,50,53,53,18
