Swim Date,Swim Title,Swim Start Time,Swim End Time,Activity Variant,Pool Size,HR Device,Device,Location,Firmware
10/10/2024,,12:24:07PM,12:52:24PM,pool,50,oh1,goggles,,3.4.98

Swim Date,Swim Time,Set #,Set,Interval (m),Length (m),Strk,Move Time,Rest Time,Cumul Time,Len,Dist (m),Cumul Dist (m),Avg DPS,Avg BPM (moving),Max BPM,Min BPM (resting),Pace/100,Pace/50,SWOLF,Avg Strk Rate (strk/min),Strk Count,Avg Strk Count/Len,Calories
10/10/2024,12:24:07PM,1,1x100,100,50,FR,0:59.51,0:00.00,0:59.51,1,50,50,1.08,145,159,0,1:59.05,0:59.52,105,47,45,45,12
10/10/2024,12:25:07PM,1,1x100,100,50,FR,1:06.94,0:00.00,2:06.44,1,50,100,0.94,164,169,0,2:13.87,1:06.93,119,48,52,52,16
10/10/2024,12:26:14PM,1,1x100,100,0,REST,0:00.00,0:07.27,2:13.71,1,0,100,0,0,168,167,0:00.00,0:00.00,0,0,0,0,1
10/10/2024,12:26:21PM,2,6x50,50,50,FR,1:05.28,0:00.00,3:18.99,1,50,150,0.91,171,174,0,2:10.55,1:05.27,118,48,53,53,17
10/10/2024,12:27:26PM,2,6x50,50,0,REST,0:00.00,0:06.86,3:25.85,1,0,150,0,0,175,174,0:00.00,0:00.00,0,0,0,0,0
10/10/2024,12:27:33PM,2,6x50,50,50,FR,1:04.72,0:00.00,4:30.57,1,50,200,0.91,175,177,0,2:09.37,1:04.68,118,49,53,53,17
10/10/2024,12:28:38PM,2,6x50,50,0,REST,0:00.00,0:26.69,4:57.26,1,0,200,0,0,177,171,0:00.00,0:00.00,0,0,0,0,2
10/10/2024,12:29:04PM,2,6x50,50,50,FR,1:06.44,0:00.00,6:03.70,1,50,250,0.91,172,177,0,2:12.80,1:06.40,119,48,53,53,17
10/10/2024,12:30:11PM,2,6x50,50,0,REST,0:00.00,0:10.09,6:13.79,1,0,250,0,0,178,177,0:00.00,0:00.00,0,0,0,0,1
10/10/2024,12:30:21PM,2,6x50,50,50,FR,1:05.76,0:00.00,7:19.55,1,50,300,0.9,177,180,0,2:11.58,1:05.79,119,49,53,53,18
10/10/2024,12:31:27PM,2,6x50,50,0,REST,0:00.00,0:29.42,7:48.97,1,0,300,0,0,181,170,0:00.00,0:00.00,0,0,0,0,2
10/10/2024,12:31:56PM,2,6x50,50,50,FR,1:10.84,0:00.00,8:59.81,1,50,350,0.84,174,179,0,2:21.64,1:10.82,129,49,58,58,18
10/10/2024,12:33:07PM,2,6x50,50,0,REST,0:00.00,0:15.57,9:15.38,1,0,350,0,0,180,179,0:00.00,0:00.00,0,0,0,0,0
10/10/2024,12:33:23PM,2,6x50,50,50,FR,1:05.56,0:00.00,10:20.95,1,50,400,0.9,178,181,0,2:11.06,1:05.53,119,49,53,53,17
10/10/2024,12:34:28PM,2,6x50,50,0,REST,0:00.00,0:29.11,10:50.05,1,0,400,0,0,182,181,0:00.00,0:00.00,0,0,0,0,2
10/10/2024,12:34:57PM,3,8x50,50,50,BR,1:10.88,0:00.00,12:00.93,1,50,450,1.48,172,173,0,2:21.84,1:10.92,103,28,32,32,18
10/10/2024,12:36:08PM,3,8x50,50,0,REST,0:00.00,0:21.58,12:22.51,1,0,450,0,0,174,169,0:00.00,0:00.00,0,0,0,0,0
10/10/2024,12:36:30PM,3,8x50,50,50,BR,1:10.58,0:00.00,13:33.09,1,50,500,1.65,171,174,0,2:21.24,1:10.62,100,25,29,29,17
10/10/2024,12:37:40PM,3,8x50,50,0,REST,0:00.00,0:23.64,13:56.74,1,0,500,0,0,174,166,0:00.00,0:00.00,0,0,0,0,1
10/10/2024,12:38:04PM,3,8x50,50,50,BR,1:13.69,0:00.00,15:10.42,1,50,550,1.58,167,172,0,2:27.28,1:13.64,104,25,30,30,18
10/10/2024,12:39:18PM,3,8x50,50,0,REST,0:00.00,0:14.96,15:25.39,1,0,550,0,0,174,172,0:00.00,0:00.00,0,0,0,0,1
10/10/2024,12:39:33PM,3,8x50,50,50,BR,1:18.44,0:00.00,16:43.82,1,50,600,1.49,169,171,0,2:36.99,1:18.49,110,24,32,32,13
10/10/2024,12:40:51PM,3,8x50,50,0,REST,0:00.00,0:03.33,16:47.15,1,0,600,0,0,170,170,0:00.00,0:00.00,0,0,0,0,0
10/10/2024,12:40:54PM,3,8x50,50,50,BR,1:11.18,0:00.00,17:58.33,1,50,650,1.59,173,176,0,2:22.45,1:11.23,101,26,30,30,19
10/10/2024,12:42:05PM,3,8x50,50,0,REST,0:00.00,0:14.11,18:12.44,1,0,650,0,0,173,170,0:00.00,0:00.00,0,0,0,0,0
10/10/2024,12:42:20PM,3,8x50,50,50,BR,1:08.36,0:00.00,19:20.80,1,50,700,1.62,171,176,0,2:16.80,1:08.40,98,26,30,30,17
10/10/2024,12:43:28PM,3,8x50,50,0,REST,0:00.00,0:12.12,19:32.92,1,0,700,0,0,177,174,0:00.00,0:00.00,0,0,0,0,1
10/10/2024,12:43:40PM,3,8x50,50,50,BR,1:16.18,0:00.00,20:49.10,1,50,750,1.47,171,174,0,2:32.44,1:16.22,108,25,32,32,19
10/10/2024,12:44:56PM,3,8x50,50,0,REST,0:00.00,0:07.43,20:56.53,1,0,750,0,0,173,171,0:00.00,0:00.00,0,0,0,0,1
10/10/2024,12:45:04PM,3,8x50,50,50,BR,1:12.54,0:00.00,22:09.07,1,50,800,1.44,172,174,0,2:25.14,1:12.57,106,26,33,33,18
10/10/2024,12:46:16PM,3,8x50,50,0,REST,0:00.00,0:38.28,22:47.35,1,0,800,0,0,175,157,0:00.00,0:00.00,0,0,0,0,2
10/10/2024,12:46:54PM,4,4x50,50,50,FR,1:08.20,0:00.00,23:55.55,1,50,850,0.88,168,179,0,2:16.43,1:08.21,121,48,53,53,17
10/10/2024,12:48:03PM,4,4x50,50,0,REST,0:00.00,0:12.40,24:07.95,1,0,850,0,0,180,179,0:00.00,0:00.00,0,0,0,0,1
10/10/2024,12:48:15PM,4,4x50,50,50,BR,1:14.82,0:00.00,25:22.77,1,50,900,1.55,171,178,0,2:29.70,1:14.85,106,25,31,31,19
10/10/2024,12:49:30PM,4,4x50,50,0,REST,0:00.00,0:26.55,25:49.32,1,0,900,0,0,171,161,0:00.00,0:00.00,0,0,0,0,2
10/10/2024,12:49:56PM,4,4x50,50,50,FR,1:04.87,0:00.00,26:54.18,1,50,950,0.88,168,179,0,2:09.70,1:04.85,119,50,54,54,16
10/10/2024,12:51:01PM,4,4x50,50,0,REST,0:00.00,0:10.51,27:04.69,1,0,950,0,0,180,179,0:00.00,0:00.00,0,0,0,0,1
10/10/2024,12:51:12PM,4,4x50,50,50,BR,1:12.55,0:00.00,28:17.25,1,50,1000,1.45,181,184,0,2:25.14,1:12.57,106,28,33,33,12
