Swim Date,Swim Title,Swim Start Time,Swim End Time,Activity Variant,Pool Size,HR Device,Device,Location,Firmware
12/03/2024,,12:24:15PM,12:52:41PM,pool,50,oh1,goggles,,3.4.153

Swim Date,Swim Time,Set #,Set,Interval (m),Length (m),Strk,Move Time,Rest Time,Cumul Time,Len,Dist (m),Cumul Dist (m),Avg DPS,Avg BPM (moving),Max BPM,Min BPM (resting),Pace/100,Pace/50,SWOLF,Avg Strk Rate (strk/min),Strk Count,Avg Strk Count/Len,Calories
12/03/2024,12:24:15PM,1,1x100,100,50,FR,0:58.27,0:00.00,0:58.27,1,50,50,1.02,120,136,0,1:56.55,0:58.28,105,51,47,47,8
12/03/2024,12:25:13PM,1,1x100,100,50,FR,1:08.72,0:00.00,2:07.00,1,50,100,0.87,153,164,0,2:17.36,1:08.68,125,50,56,56,15
12/03/2024,12:26:22PM,1,1x100,100,0,REST,0:00.00,0:08.05,2:15.04,1,0,100,0,0,159,157,0:00.00,0:00.00,0,0,0,0,1
12/03/2024,12:26:30PM,2,2x50,50,50,FR,1:02.01,0:00.00,3:17.05,1,50,150,0.92,163,170,0,2:04.07,1:02.03,113,51,51,51,14
12/03/2024,12:27:32PM,2,2x50,50,0,REST,0:00.00,0:07.26,3:24.31,1,0,150,0,0,166,164,0:00.00,0:00.00,0,0,0,0,1
12/03/2024,12:27:39PM,2,2x50,50,50,FR,1:06.12,0:00.00,4:30.43,1,50,200,0.86,169,172,0,2:12.28,1:06.14,121,51,55,55,17
12/03/2024,12:28:45PM,2,2x50,50,0,REST,0:00.00,0:23.19,4:53.61,1,0,200,0,0,174,172,0:00.00,0:00.00,0,0,0,0,1
12/03/2024,12:29:08PM,3,1x100,100,50,FR,1:08.75,0:00.00,6:02.36,1,50,250,0.86,165,173,0,2:17.55,1:08.78,124,49,55,55,16
12/03/2024,12:30:17PM,3,1x100,100,50,FR,1:18.88,0:00.00,7:21.24,1,50,300,0.76,168,172,0,2:37.73,1:18.86,143,50,64,64,20
12/03/2024,12:31:36PM,3,1x100,100,0,REST,0:00.00,0:37.88,7:59.12,1,0,300,0,0,176,161,0:00.00,0:00.00,0,0,0,0,2
12/03/2024,12:32:14PM,4,8x50,50,50,FR,1:12.69,0:00.00,9:11.82,1,50,350,0.82,162,168,0,2:25.35,1:12.67,130,48,57,57,17
12/03/2024,12:33:26PM,4,8x50,50,0,REST,0:00.00,0:10.25,9:22.07,1,0,350,0,0,166,163,0:00.00,0:00.00,0,0,0,0,1
12/03/2024,12:33:37PM,4,8x50,50,50,FR,1:11.40,0:00.00,10:33.46,1,50,400,0.81,167,174,0,2:22.86,1:11.43,129,49,58,58,18
12/03/2024,12:34:48PM,4,8x50,50,0,REST,0:00.00,0:28.92,11:02.38,1,0,400,0,0,176,171,0:00.00,0:00.00,0,0,0,0,2
12/03/2024,12:35:17PM,4,8x50,50,50,FR,1:11.51,0:00.00,12:13.89,1,50,450,0.81,171,176,0,2:23.06,1:11.53,129,49,57,57,19
12/03/2024,12:36:28PM,4,8x50,50,0,REST,0:00.00,0:09.97,12:23.86,1,0,450,0,0,175,173,0:00.00,0:00.00,0,0,0,0,1
12/03/2024,12:36:38PM,4,8x50,50,50,FR,1:16.09,0:00.00,13:39.95,1,50,500,0.78,174,178,0,2:32.21,1:16.10,138,49,62,62,20
12/03/2024,12:37:55PM,4,8x50,50,0,REST,0:00.00,0:32.19,14:12.14,1,0,500,0,0,175,166,0:00.00,0:00.00,0,0,0,0,2
12/03/2024,12:38:27PM,4,8x50,50,50,FR,1:14.27,0:00.00,15:26.41,1,50,550,0.81,167,172,0,2:28.59,1:14.29,133,48,59,59,12
12/03/2024,12:39:41PM,4,8x50,50,0,REST,0:00.00,0:01.91,15:28.32,1,0,550,0,0,173,173,0:00.00,0:00.00,0,0,0,0,0
12/03/2024,12:39:43PM,4,8x50,50,50,FR,1:16.23,0:00.00,16:44.54,1,50,600,0.77,176,177,0,2:32.44,1:16.22,138,50,62,62,20
12/03/2024,12:40:59PM,4,8x50,50,0,REST,0:00.00,0:31.43,17:15.97,1,0,600,0,0,176,168,0:00.00,0:00.00,0,0,0,0,2
12/03/2024,12:41:31PM,4,8x50,50,50,FR,1:07.61,0:00.00,18:23.58,1,50,650,0.86,167,173,0,2:15.13,1:07.57,123,49,55,55,17
12/03/2024,12:42:38PM,4,8x50,50,0,REST,0:00.00,0:09.04,18:32.62,1,0,650,0,0,173,172,0:00.00,0:00.00,0,0,0,0,1
