Swim Date,Swim Title,Swim Start Time,Swim End Time,Activity Variant,Pool Size,HR Device,Device,Location,Firmware
12/10/2024,,12:23:45PM,12:50:07PM,pool,50,oh1,goggles,,3.4.153

Swim Date,Swim Time,Set #,Set,Interval (m),Length (m),Strk,Move Time,Rest Time,Cumul Time,Len,Dist (m),Cumul Dist (m),Avg DPS,Avg BPM (moving),Max BPM,Min BPM (resting),Pace/100,Pace/50,SWOLF,Avg Strk Rate (strk/min),Strk Count,Avg Strk Count/Len,Calories
12/10/2024,12:23:45PM,1,8x50,50,50,FR,0:56.42,0:00.00,0:56.42,1,50,50,1.04,149,166,0,1:52.87,0:56.43,101,49,45,45,11
12/10/2024,12:24:41PM,1,8x50,50,0,REST,0:00.00,0:05.35,1:01.77,1,0,50,0,0,166,166,0:00.00,0:00.00,0,0,0,0,0
12/10/2024,12:24:46PM,1,8x50,50,50,FR,1:03.21,0:00.00,2:04.98,1,50,100,0.93,170,173,0,2:06.42,1:03.21,114,50,51,51,16
12/10/2024,12:25:50PM,1,8x50,50,0,REST,0:00.00,0:07.32,2:12.30,1,0,100,0,0,172,172,0:00.00,0:00.00,0,0,0,0,1
12/10/2024,12:25:57PM,1,8x50,50,50,FR,1:04.28,0:00.00,3:16.58,1,50,150,0.91,173,174,0,2:08.53,1:04.27,116,50,52,52,17
12/10/2024,12:27:01PM,1,8x50,50,0,REST,0:00.00,0:06.58,3:23.16,1,0,150,0,0,174,173,0:00.00,0:00.00,0,0,0,0,0
12/10/2024,12:27:08PM,1,8x50,50,50,FR,1:13.19,0:00.00,4:36.35,1,50,200,0.8,173,174,0,2:26.41,1:13.21,133,50,60,60,19
12/10/2024,12:28:21PM,1,8x50,50,0,REST,0:00.00,0:13.60,4:49.94,1,0,200,0,0,0,0,0:00.00,0:00.00,0,0,0,0,1
12/10/2024,12:28:35PM,1,8x50,50,50,FR,1:07.23,0:00.00,5:57.17,1,50,250,0.85,167,174,0,2:14.41,1:07.20,124,50,57,57,16
12/10/2024,12:29:42PM,1,8x50,50,0,REST,0:00.00,0:12.08,6:09.25,1,0,250,0,0,176,174,0:00.00,0:00.00,0,0,0,0,0
