Swim Date,Swim Title,Swim Start Time,Swim End Time,Activity Variant,Pool Size,HR Device,Device,Location,Firmware
10/01/2024,,12:25:24PM,12:57:10PM,pool,50,oh1,goggles,,3.4.98

Swim Date,Swim Time,Set #,Set,Interval (m),Length (m),Strk,Move Time,Rest Time,Cumul Time,Len,Dist (m),Cumul Dist (m),Avg DPS,Avg BPM (moving),Max BPM,Min BPM (resting),Pace/100,Pace/50,SWOLF,Avg Strk Rate (strk/min),Strk Count,Avg Strk Count/Len,Calories
10/01/2024,12:25:24PM,1,1x100,100,50,FR,0:52.20,0:00.00,0:52.20,1,50,50,1.18,153,166,0,1:44.38,0:52.19,93,48,41,41,11
10/01/2024,12:26:16PM,1,1x100,100,50,FR,1:03.14,0:00.00,1:55.34,1,50,100,1.01,174,177,0,2:06.26,1:03.13,111,47,48,48,16
10/01/2024,12:27:19PM,1,1x100,100,0,REST,0:00.00,0:21.86,2:17.20,1,0,100,0,0,173,171,0:00.00,0:00.00,0,0,0,0,1
10/01/2024,12:27:41PM,2,10x50,50,50,FR,1:09.72,0:00.00,3:26.92,1,50,150,0.9,169,177,0,2:19.47,1:09.73,124,46,54,54,17
10/01/2024,12:28:51PM,2,10x50,50,0,REST,0:00.00,0:20.23,3:47.16,1,0,150,0,0,175,166,0:00.00,0:00.00,0,0,0,0,1
10/01/2024,12:29:11PM,2,10x50,50,50,FR,1:15.02,0:00.00,5:02.18,1,50,200,0.84,170,180,0,2:30.15,1:15.08,133,47,58,58,18
10/01/2024,12:30:26PM,2,10x50,50,0,REST,0:00.00,0:28.44,5:30.62,1,0,200,0,0,179,168,0:00.00,0:00.00,0,0,0,0,2
10/01/2024,12:30:54PM,2,10x50,50,50,FR,1:01.22,0:00.00,6:31.84,1,50,250,0.98,174,180,0,2:02.40,1:01.20,110,48,49,49,16
10/01/2024,12:31:56PM,2,10x50,50,0,REST,0:00.00,0:41.04,7:12.88,1,0,250,0,0,181,164,0:00.00,0:00.00,0,0,0,0,1
10/01/2024,12:32:37PM,2,10x50,50,50,FR,1:06.87,0:00.00,8:19.75,1,50,300,0.92,174,183,0,2:13.69,1:06.84,120,47,53,53,17
10/01/2024,12:33:44PM,2,10x50,50,0,REST,0:00.00,0:39.11,8:58.86,1,0,300,0,0,183,170,0:00.00,0:00.00,0,0,0,0,2
10/01/2024,12:34:23PM,2,10x50,50,50,FR,1:04.19,0:00.00,10:03.05,1,50,350,0.97,173,179,0,2:08.37,1:04.18,114,46,50,50,16
10/01/2024,12:35:27PM,2,10x50,50,0,REST,0:00.00,0:46.73,10:49.79,1,0,350,0,0,180,160,0:00.00,0:00.00,0,0,0,0,3
10/01/2024,12:36:14PM,2,10x50,50,50,FR,1:03.72,0:00.00,11:53.51,1,50,400,0.94,176,185,0,2:07.39,1:03.69,115,48,51,51,17
10/01/2024,12:37:17PM,2,10x50,50,0,REST,0:00.00,0:34.10,12:27.61,1,0,400,0,0,185,172,0:00.00,0:00.00,0,0,0,0,2
10/01/2024,12:37:51PM,2,10x50,50,50,FR,1:02.55,0:00.00,13:30.17,1,50,450,0.96,179,187,0,2:05.16,1:02.58,113,49,50,50,17
10/01/2024,12:38:54PM,2,10x50,50,0,REST,0:00.00,0:43.74,14:13.91,1,0,450,0,0,184,167,0:00.00,0:00.00,0,0,0,0,3
10/01/2024,12:39:38PM,2,10x50,50,50,FR,1:04.41,0:00.00,15:18.32,1,50,500,0.99,175,184,0,2:08.87,1:04.43,113,47,49,49,17
10/01/2024,12:40:42PM,2,10x50,50,0,REST,0:00.00,1:06.03,16:24.36,1,0,500,0,0,184,145,0:00.00,0:00.00,0,0,0,0,4
10/01/2024,12:41:48PM,2,10x50,50,50,FR,1:08.47,0:00.00,17:32.82,1,50,550,0.91,166,178,0,2:16.99,1:08.49,120,46,52,52,17
10/01/2024,12:42:57PM,2,10x50,50,0,REST,0:00.00,0:34.09,18:06.91,1,0,550,0,0,180,165,0:00.00,0:00.00,0,0,0,0,2
10/01/2024,12:43:31PM,2,10x50,50,50,FR,1:07.04,0:00.00,19:13.94,1,50,600,0.91,173,182,0,2:14.05,1:07.02,119,47,52,52,17
10/01/2024,12:44:38PM,2,10x50,50,0,REST,0:00.00,0:33.71,19:47.65,1,0,600,0,0,182,168,0:00.00,0:00.00,0,0,0,0,3
10/01/2024,12:45:11PM,3,4x50,50,50,BR,1:18.73,0:00.00,21:06.38,1,50,650,1.49,170,176,0,2:37.48,1:18.74,111,25,32,32,13
10/01/2024,12:46:38PM,3,4x50,50,0,REST,0:00.00,0:06.15,21:12.53,1,0,650,0,0,172,167,0:00.00,0:00.00,0,0,0,0,0
10/01/2024,12:46:44PM,3,4x50,50,50,BR,1:15.45,0:00.00,22:27.98,1,50,700,1.57,166,169,0,2:30.83,1:15.41,106,24,31,31,18
10/01/2024,12:47:59PM,3,4x50,50,0,REST,0:00.00,0:05.83,22:33.81,1,0,700,0,0,169,169,0:00.00,0:00.00,0,0,0,0,0
10/01/2024,12:48:15PM,3,4x50,50,0,REST,0:00.00,0:06.55,22:40.35,1,0,700,0,0,0,0,0:00.00,0:00.00,0,0,0,0,0
10/01/2024,12:48:22PM,3,4x50,50,50,BR,1:15.13,0:00.00,23:55.48,1,50,750,1.72,161,169,0,2:30.15,1:15.08,103,23,28,28,17
10/01/2024,12:49:37PM,3,4x50,50,0,REST,0:00.00,0:16.29,24:11.77,1,0,750,0,0,166,164,0:00.00,0:00.00,0,0,0,0,1
10/01/2024,12:49:53PM,3,4x50,50,50,BR,1:15.46,0:00.00,25:27.23,1,50,800,1.7,163,172,0,2:30.83,1:15.41,103,23,28,28,18
10/01/2024,12:51:09PM,3,4x50,50,0,REST,0:00.00,0:36.78,26:04.02,1,0,800,0,0,165,152,0:00.00,0:00.00,0,0,0,0,2
10/01/2024,12:51:46PM,4,4x50,50,50,FR,0:56.87,0:00.00,27:00.88,1,50,850,1.09,165,175,0,1:53.77,0:56.88,101,47,44,44,14
10/01/2024,12:52:42PM,4,4x50,50,0,REST,0:00.00,0:24.00,27:24.89,1,0,850,0,0,176,174,0:00.00,0:00.00,0,0,0,0,0
10/01/2024,12:53:06PM,4,4x50,50,50,BR,1:15.88,0:00.00,28:40.76,1,50,900,1.57,171,173,0,2:31.75,1:15.87,107,25,31,31,12
10/01/2024,12:54:24PM,4,4x50,50,0,REST,0:00.00,0:32.48,29:13.25,1,0,900,0,0,171,156,0:00.00,0:00.00,0,0,0,0,2
10/01/2024,12:54:57PM,4,4x50,50,50,FR,0:59.41,0:00.00,30:12.65,1,50,950,0.96,0,0,0,1:58.77,0:59.38,109,51,50,50,14
10/01/2024,12:55:56PM,4,4x50,50,0,REST,0:00.00,0:09.20,30:21.85,1,0,950,0,0,0,0,0:00.00,0:00.00,0,0,0,0,1
10/01/2024,12:56:06PM,4,4x50,50,50,BR,1:21.60,0:00.00,31:43.44,1,50,1000,1.4,176,183,0,2:43.13,1:21.57,116,25,34,34,22
10/01/2024,12:57:27PM,4,4x50,50,0,REST,0:00.00,0:02.97,31:46.42,1,0,1000,0,0,0,0,0:00.00,0:00.00,0,0,0,0,0
