Swim Date,Swim Title,Swim Start Time,Swim End Time,Activity Variant,Pool Size,HR Device,Device,Location,Firmware
10/17/2024,,12:27:06PM,12:56:26PM,pool,50,oh1,goggles,,3.4.153

Swim Date,Swim Time,Set #,Set,Interval (m),Length (m),Strk,Move Time,Rest Time,Cumul Time,Len,Dist (m),Cumul Dist (m),Avg DPS,Avg BPM (moving),Max BPM,Min BPM (resting),Pace/100,Pace/50,SWOLF,Avg Strk Rate (strk/min),Strk Count,Avg Strk Count/Len,Calories
10/17/2024,12:27:06PM,1,12x50,50,50,FR,0:54.72,0:00.00,0:54.72,1,50,50,1.04,147,165,0,1:49.41,0:54.70,101,50,46,46,11
10/17/2024,12:28:01PM,1,12x50,50,0,REST,0:00.00,0:11.01,1:05.73,1,0,50,0,0,167,165,0:00.00,0:00.00,0,0,0,0,1
10/17/2024,12:28:12PM,1,12x50,50,50,FR,0:59.29,0:00.00,2:05.02,1,50,100,1.04,168,170,0,1:58.62,0:59.31,106,49,47,47,15
10/17/2024,12:29:11PM,1,12x50,50,0,REST,0:00.00,0:23.80,2:28.82,1,0,100,0,0,170,164,0:00.00,0:00.00,0,0,0,0,2
10/17/2024,12:29:35PM,1,12x50,50,50,FR,1:02.49,0:00.00,3:31.32,1,50,150,0.93,167,173,0,2:05.00,1:02.50,114,50,52,52,15
10/17/2024,12:30:38PM,1,12x50,50,0,REST,0:00.00,0:12.41,3:43.73,1,0,150,0,0,173,172,0:00.00,0:00.00,0,0,0,0,1
10/17/2024,12:30:50PM,1,12x50,50,50,FR,1:02.57,0:00.00,4:46.29,1,50,200,0.92,176,179,0,2:05.16,1:02.58,114,51,51,51,17
10/17/2024,12:31:53PM,1,12x50,50,0,REST,0:00.00,0:25.32,5:11.61,1,0,200,0,0,177,173,0:00.00,0:00.00,0,0,0,0,2
10/17/2024,12:32:18PM,1,12x50,50,50,FR,1:07.40,0:00.00,6:19.01,1,50,250,0.84,174,180,0,2:14.77,1:07.39,123,52,56,56,17
10/17/2024,12:33:25PM,1,12x50,50,0,REST,0:00.00,0:32.09,6:51.10,1,0,250,0,0,180,172,0:00.00,0:00.00,0,0,0,0,1
10/17/2024,12:33:58PM,1,12x50,50,50,FR,0:57.39,0:00.00,7:48.48,1,50,300,1.03,169,173,0,1:54.81,0:57.41,104,49,47,47,14
10/17/2024,12:34:55PM,1,12x50,50,0,REST,0:00.00,0:21.39,8:09.87,1,0,300,0,0,177,174,0:00.00,0:00.00,0,0,0,0,1
10/17/2024,12:35:16PM,1,12x50,50,50,FR,1:07.22,0:00.00,9:17.09,1,50,350,0.9,176,178,0,2:14.41,1:07.20,121,49,54,54,18
10/17/2024,12:36:24PM,1,12x50,50,0,REST,0:00.00,0:24.93,9:42.02,1,0,350,0,0,178,175,0:00.00,0:00.00,0,0,0,0,2
10/17/2024,12:36:48PM,1,12x50,50,50,FR,1:06.43,0:00.00,10:48.45,1,50,400,0.89,174,178,0,2:12.80,1:06.40,119,50,53,53,18
10/17/2024,12:37:55PM,1,12x50,50,0,REST,0:00.00,0:38.48,11:26.93,1,0,400,0,0,179,163,0:00.00,0:00.00,0,0,0,0,2
10/17/2024,12:38:33PM,1,12x50,50,50,FR,1:05.83,0:00.00,12:32.76,1,50,450,0.86,171,179,0,2:11.58,1:05.79,121,51,55,55,17
10/17/2024,12:39:39PM,1,12x50,50,0,REST,0:00.00,0:24.63,12:57.39,1,0,450,0,0,179,172,0:00.00,0:00.00,0,0,0,0,2
10/17/2024,12:40:04PM,1,12x50,50,50,FR,1:03.77,0:00.00,14:01.16,1,50,500,0.86,174,179,0,2:07.55,1:03.78,119,52,55,55,17
10/17/2024,12:41:08PM,1,12x50,50,0,REST,0:00.00,0:39.68,14:40.84,1,0,500,0,0,180,161,0:00.00,0:00.00,0,0,0,0,2
10/17/2024,12:41:47PM,1,12x50,50,50,FR,1:03.85,0:00.00,15:44.69,1,50,550,0.83,170,178,0,2:07.71,1:03.86,121,54,57,57,16
10/17/2024,12:42:51PM,1,12x50,50,0,REST,0:00.00,0:26.22,16:10.91,1,0,550,0,0,180,175,0:00.00,0:00.00,0,0,0,0,2
10/17/2024,12:43:17PM,1,12x50,50,50,FR,1:04.34,0:00.00,17:15.25,1,50,600,0.83,175,182,0,2:08.70,1:04.35,121,54,57,57,12
10/17/2024,12:44:22PM,1,12x50,50,0,REST,0:00.00,0:29.60,17:44.85,1,0,600,0,0,182,173,0:00.00,0:00.00,0,0,0,0,1
10/17/2024,12:44:51PM,2,6x50,50,50,BR,1:14.11,0:00.00,18:58.96,1,50,650,1.48,175,178,0,2:28.15,1:14.07,107,28,33,33,12
