Swim Date,Swim Title,Swim Start Time,Swim End Time,Activity Variant,Pool Size,HR Device,Device,Location,Firmware
11/21/2024,,12:23:47PM,12:49:27PM,pool,50,oh1,goggles,,3.4.153

Swim Date,Swim Time,Set #,Set,Interval (m),Length (m),Strk,Move Time,Rest Time,Cumul Time,Len,Dist (m),Cumul Dist (m),Avg DPS,Avg BPM (moving),Max BPM,Min BPM (resting),Pace/100,Pace/50,SWOLF,Avg Strk Rate (strk/min),Strk Count,Avg Strk Count/Len,Calories
11/21/2024,12:23:47PM,1,4x50,50,50,FR,0:49.41,0:00.00,0:49.41,1,50,50,1.22,149,162,0,1:38.81,0:49.41,89,49,40,40,10
11/21/2024,12:24:37PM,1,4x50,50,0,REST,0:00.00,0:07.71,0:57.12,1,0,50,0,0,164,162,0:00.00,0:00.00,0,0,0,0,1
11/21/2024,12:24:44PM,1,4x50,50,50,FR,0:55.02,0:00.00,1:52.14,1,50,100,1.1,168,170,0,1:50.01,0:55.01,99,48,44,44,14
11/21/2024,12:25:39PM,1,4x50,50,0,REST,0:00.00,0:15.79,2:07.93,1,0,100,0,0,169,167,0:00.00,0:00.00,0,0,0,0,1
11/21/2024,12:25:55PM,1,4x50,50,50,FR,1:05.31,0:00.00,3:13.24,1,50,150,0.96,170,173,0,2:10.55,1:05.27,116,46,51,51,17
11/21/2024,12:27:01PM,1,4x50,50,0,REST,0:00.00,0:10.09,3:23.33,1,0,150,0,0,172,170,0:00.00,0:00.00,0,0,0,0,1
11/21/2024,12:27:11PM,1,4x50,50,50,FR,1:06.34,0:00.00,4:29.66,1,50,200,0.94,173,174,0,2:12.63,1:06.31,117,46,51,51,17
11/21/2024,12:28:17PM,1,4x50,50,0,REST,0:00.00,0:08.14,4:37.80,1,0,200,0,0,173,171,0:00.00,0:00.00,0,0,0,0,1
11/21/2024,12:28:25PM,2,1x100,100,50,FR,1:07.15,0:00.00,5:44.95,1,50,250,0.88,172,181,0,2:14.23,1:07.11,122,49,55,55,17
11/21/2024,12:29:32PM,2,1x100,100,50,FR,1:16.28,0:00.00,7:01.23,1,50,300,0.84,176,181,0,2:32.67,1:16.34,134,47,58,58,20
11/21/2024,12:30:49PM,2,1x100,100,0,REST,0:00.00,0:09.85,7:11.08,1,0,300,0,0,176,175,0:00.00,0:00.00,0,0,0,0,0
11/21/2024,12:30:58PM,3,5x50,50,50,FR,1:12.72,0:00.00,8:23.80,1,50,350,0.84,176,177,0,2:25.35,1:12.67,131,47,58,58,19
11/21/2024,12:32:11PM,3,5x50,50,0,REST,0:00.00,0:06.81,8:30.61,1,0,350,0,0,176,175,0:00.00,0:00.00,0,0,0,0,0
11/21/2024,12:32:18PM,3,5x50,50,50,FR,1:13.42,0:00.00,9:44.03,1,50,400,0.82,175,177,0,2:26.84,1:13.42,132,48,59,59,19
11/21/2024,12:33:31PM,3,5x50,50,0,REST,0:00.00,0:12.83,9:56.86,1,0,400,0,0,177,177,0:00.00,0:00.00,0,0,0,0,1
11/21/2024,12:33:44PM,3,5x50,50,50,FR,1:11.97,0:00.00,11:08.84,1,50,450,0.85,176,178,0,2:23.88,1:11.94,128,47,56,56,19
11/21/2024,12:34:56PM,3,5x50,50,0,REST,0:00.00,0:07.09,11:15.93,1,0,450,0,0,178,177,0:00.00,0:00.00,0,0,0,0,0
11/21/2024,12:35:03PM,3,5x50,50,50,FR,1:12.94,0:00.00,12:28.87,1,50,500,0.87,175,177,0,2:25.77,1:12.89,129,48,56,56,20
11/21/2024,12:36:16PM,3,5x50,50,0,REST,0:00.00,0:15.61,12:44.47,1,0,500,0,0,176,176,0:00.00,0:00.00,0,0,0,0,1
11/21/2024,12:36:32PM,3,5x50,50,50,FR,1:14.42,0:00.00,13:58.89,1,50,550,0.81,174,176,0,2:28.81,1:14.40,133,48,59,59,20
11/21/2024,12:37:46PM,3,5x50,50,0,REST,0:00.00,0:11.17,14:10.07,1,0,550,0,0,176,174,0:00.00,0:00.00,0,0,0,0,1
11/21/2024,12:37:57PM,4,1x100,100,50,FR,1:10.19,0:00.00,15:20.25,1,50,600,0.83,180,185,0,2:20.45,1:10.22,127,49,57,57,12
11/21/2024,12:39:08PM,4,1x100,100,50,FR,1:18.32,0:00.00,16:38.57,1,50,650,0.78,178,182,0,2:36.74,1:18.37,140,47,62,62,21
11/21/2024,12:40:26PM,4,1x100,100,0,REST,0:00.00,0:10.15,16:48.72,1,0,650,0,0,177,177,0:00.00,0:00.00,0,0,0,0,0
11/21/2024,12:40:36PM,5,1x50,50,50,FR,1:14.64,0:00.00,18:03.37,1,50,700,0.82,176,177,0,2:29.25,1:14.63,133,47,58,58,20
11/21/2024,12:41:51PM,5,1x50,50,0,REST,0:00.00,0:28.99,18:32.36,1,0,700,0,0,178,171,0:00.00,0:00.00,0,0,0,0,2
11/21/2024,12:42:20PM,6,2x100,100,50,FR,1:13.59,0:00.00,19:45.95,1,50,750,0.82,169,175,0,2:27.28,1:13.64,133,48,59,59,18
11/21/2024,12:43:33PM,6,2x100,100,50,FR,1:22.05,0:00.00,21:07.99,1,50,800,0.76,176,178,0,2:44.20,1:22.10,146,48,64,64,22
11/21/2024,12:44:55PM,6,2x100,100,0,REST,0:00.00,0:28.30,21:36.29,1,0,800,0,0,177,172,0:00.00,0:00.00,0,0,0,0,2
11/21/2024,12:45:24PM,6,2x100,100,50,FR,1:12.78,0:00.00,22:49.07,1,50,850,0.8,173,176,0,2:25.56,1:12.78,130,48,57,57,19
11/21/2024,12:46:36PM,6,2x100,100,50,FR,1:19.18,0:00.00,24:08.26,1,50,900,0.77,176,177,0,2:38.48,1:19.24,142,48,63,63,21
11/21/2024,12:47:56PM,6,2x100,100,0,REST,0:00.00,0:20.56,24:28.82,1,0,900,0,0,178,174,0:00.00,0:00.00,0,0,0,0,1
11/21/2024,12:48:16PM,7,1x50,50,50,FR,1:11.69,0:00.00,25:40.51,1,50,950,0.87,173,177,0,2:23.47,1:11.74,128,47,56,56,19
